,name,raw_wp_url
0,bitcoin,https://whitepaper.io/document/0/bitcoin-whitepaper
1,ethereum,https://whitepaper.io/document/718/ethereum-whitepaper
2,tether,https://whitepaper.io/document/6/tether-whitepaper
3,usd_coin,https://whitepaper.io/document/716/usd-coin-whitepaper
4,binance,https://whitepaper.io/document/10/binance-whitepaper
5,ripple,https://whitepaper.io/document/1/ripple-whitepaper
6,cardano,https://whitepaper.io/document/581/cardano-whitepaper
7,solana,https://whitepaper.io/document/602/solana-whitepaper
8,dogecoin,https://whitepaper.io/document/672/dogecoin-whitepaper
9,matic_network,https://whitepaper.io/document/594/matic-network-whitepaper
10,polkadot,https://whitepaper.io/document/596/polkadot-whitepaper
11,shiba_inu,https://whitepaper.io/document/758/shiba-inu-whitepaper
12,dai,https://whitepaper.io/document/588/dai-whitepaper
13,polygon,https://whitepaper.io/document/646/polygon-whitepaper
14,tron,https://whitepaper.io/document/4/tron-whitepaper
15,avalanche,https://whitepaper.io/document/604/avalanche-whitepaper
16,leocoin,https://whitepaper.io/document/316/leocoin-whitepaper
17,wrapped_bitcoin,https://whitepaper.io/document/598/wrapped-bitcoin-whitepaper
18,unus_sed_leo,https://whitepaper.io/document/609/unus-sed-leo-whitepaper
19,uniswap,https://whitepaper.io/document/708/uniswap-whitepaper
20,cosmos,https://whitepaper.io/document/582/cosmos-whitepaper
21,litecoin,https://whitepaper.io/document/683/litecoin-whitepaper
22,chainlink,https://whitepaper.io/document/387/chainlink-whitepaper
23,ftx_token,https://whitepaper.io/document/502/ftx-token-whitepaper
24,crypto_com_chain,https://whitepaper.io/document/380/crypto-com-chain-whitepaper
25,stellar,https://whitepaper.io/document/2/stellar-whitepaper
26,flow_dapper_labs,https://whitepaper.io/document/625/flow-dapper-labs-whitepaper
27,lido_dao,https://whitepaper.io/document/0/lido-dao-whitepaper
28,vechain,https://whitepaper.io/document/578/vechain-whitepaper
29,filecoin,https://whitepaper.io/document/599/filecoin-whitepaper
30,chiliz,https://whitepaper.io/document/522/chiliz-whitepaper
31,internet_computer,https://whitepaper.io/document/0/internet-computer-whitepaper
32,tezos,https://whitepaper.io/document/376/tezos-whitepaper
33,decentraland,https://whitepaper.io/document/92/decentraland-whitepaper
34,hedera_hashgraph,https://whitepaper.io/document/509/hedera-hashgraph-whitepaper
35,the_sandbox,https://whitepaper.io/document/642/the-sandbox-whitepaper
36,quant,https://whitepaper.io/document/420/quant-whitepaper
37,eos_1,https://whitepaper.io/document/671/eos-1-whitepaper
38,theta_token,https://whitepaper.io/document/72/theta-token-whitepaper
39,elrond,https://whitepaper.io/document/510/elrond-whitepaper
40,aave,https://whitepaper.io/document/533/aave-whitepaper
41,kucoin_shares,https://whitepaper.io/document/42/kucoin-shares-whitepaper
42,zcash,https://whitepaper.io/document/645/zcash-whitepaper
43,bittorrent,https://whitepaper.io/document/389/bittorrent-whitepaper
44,iota,https://whitepaper.io/document/3/iota-whitepaper
45,synthetix_network_token,https://whitepaper.io/document/503/synthetix-network-token-whitepaper
46,klaytn,https://whitepaper.io/document/695/klaytn-whitepaper
47,maker,https://whitepaper.io/document/22/maker-whitepaper
48,gemini_dollar,https://whitepaper.io/document/0/gemini-dollar-whitepaper
49,helium,https://whitepaper.io/document/649/helium-whitepaper
50,neo,https://whitepaper.io/document/613/neo-whitepaper
51,fantom,https://whitepaper.io/document/438/fantom-whitepaper
52,pax_gold,https://whitepaper.io/document/653/pax-gold-whitepaper
53,thorchain,https://whitepaper.io/document/709/thorchain-whitepaper
54,nexo,https://whitepaper.io/document/120/nexo-whitepaper
55,curve_dao_token,https://whitepaper.io/document/622/curve-dao-token-whitepaper
56,enjin_coin,https://whitepaper.io/document/390/enjin-coin-whitepaper
57,dash,https://whitepaper.io/document/608/dash-whitepaper
58,basic_attention_token,https://whitepaper.io/document/32/basic-attention-token-whitepaper
59,waves,https://whitepaper.io/document/617/waves-whitepaper
60,zilliqa,https://whitepaper.io/document/16/zilliqa-whitepaper
61,fei_protocol,https://whitepaper.io/document/726/fei-protocol-whitepaper
62,ravencoin,https://whitepaper.io/document/125/ravencoin-whitepaper
63,kava_io,https://whitepaper.io/document/615/kava-io-whitepaper
64,compound,https://whitepaper.io/document/586/compound-whitepaper
65,loopring,https://whitepaper.io/document/26/loopring-whitepaper
66,celsius,https://whitepaper.io/document/524/celsius-whitepaper
67,1inch,https://whitepaper.io/document/618/1inch-whitepaper
68,nem,https://whitepaper.io/document/583/nem-whitepaper
69,holo,https://whitepaper.io/document/60/holo-whitepaper
70,ankr_network,https://whitepaper.io/document/445/ankr-network-whitepaper
71,terra,https://whitepaper.io/document/587/terra-whitepaper
72,arweave,https://whitepaper.io/document/627/arweave-whitepaper
73,xinfin_network,https://whitepaper.io/document/728/xinfin-network-whitepaper
74,gnosis,https://whitepaper.io/document/116/gnosis-whitepaper
75,usdj,https://whitepaper.io/document/0/usdj-whitepaper
76,qtum,https://whitepaper.io/document/8/qtum-whitepaper
77,safemoon,https://whitepaper.io/document/694/safemoon-whitepaper
78,kyber_network,https://whitepaper.io/document/43/kyber-network-whitepaper
79,link,https://whitepaper.io/document/0/link-whitepaper
80,iotex,https://whitepaper.io/document/131/iotex-whitepaper
81,golem,https://whitepaper.io/document/21/golem-whitepaper
82,theta_fuel,https://whitepaper.io/document/0/theta-fuel-whitepaper
83,rocket_pool,https://whitepaper.io/document/551/rocket-pool-whitepaper
84,reserve_rights,https://whitepaper.io/document/492/reserve-rights-whitepaper
85,omisego,https://whitepaper.io/document/7/omisego-whitepaper
86,harmony,https://whitepaper.io/document/512/harmony-whitepaper
87,iostoken,https://whitepaper.io/document/28/iostoken-whitepaper
88,zeon,https://whitepaper.io/document/550/zeon-whitepaper
89,chain,https://whitepaper.io/document/0/chain-whitepaper
90,balancer,https://whitepaper.io/document/673/balancer-whitepaper
91,0x,https://whitepaper.io/document/20/0x-whitepaper
92,bora,https://whitepaper.io/document/577/bora-whitepaper
93,symbol,https://whitepaper.io/document/0/symbol-whitepaper
94,icon,https://whitepaper.io/document/9/icon-whitepaper
95,just,https://whitepaper.io/document/0/just-whitepaper
96,zencash,https://whitepaper.io/document/88/zencash-whitepaper
97,abbc_foundation,https://whitepaper.io/document/386/abbc-foundation-whitepaper
98,serum,https://whitepaper.io/document/626/serum-whitepaper
99,ontology,https://whitepaper.io/document/580/ontology-whitepaper
100,siacoin,https://whitepaper.io/document/17/siacoin-whitepaper
101,swipe,https://whitepaper.io/document/505/swipe-whitepaper
102,audius,https://whitepaper.io/document/663/audius-whitepaper
103,polymath,https://whitepaper.io/document/57/polymath-whitepaper
104,voyager_token,https://whitepaper.io/document/638/voyager-token-whitepaper
105,chia_network,https://whitepaper.io/document/759/chia-network-whitepaper
106,ergo_1,https://whitepaper.io/document/753/ergo-1-whitepaper
107,secret,https://whitepaper.io/document/733/secret-whitepaper
108,swissborg,https://whitepaper.io/document/593/swissborg-whitepaper
109,uma,https://whitepaper.io/document/620/uma-whitepaper
110,digibyte,https://whitepaper.io/document/647/digibyte-whitepaper
111,skale_network,https://whitepaper.io/document/670/skale-network-whitepaper
112,civic,https://whitepaper.io/document/607/civic-whitepaper
113,keep_network,https://whitepaper.io/document/667/keep-network-whitepaper
114,storj,https://whitepaper.io/document/0/storj-whitepaper
115,medibloc,https://whitepaper.io/document/176/medibloc-whitepaper
116,ceek_vr,https://whitepaper.io/document/298/ceek-vr-whitepaper
117,ultra,https://whitepaper.io/document/570/ultra-whitepaper
118,humanscape,https://whitepaper.io/document/449/humanscape-whitepaper
119,stasis_euro,https://whitepaper.io/document/748/stasis-euro-whitepaper
120,request_network,https://whitepaper.io/document/102/request-network-whitepaper
